pick_up_zone,drop_off_zone,weight
43.0,74.0,1058
43.0,75.0,2358
43.0,79.0,1702
43.0,87.0,681
43.0,88.0,407
43.0,90.0,1936
43.0,100.0,4981
43.0,107.0,2476
43.0,113.0,2198
43.0,114.0,1368
43.0,116.0,220
43.0,120.0,11
43.0,125.0,598
43.0,127.0,105
43.0,128.0,26
43.0,137.0,1103
43.0,140.0,3695
43.0,141.0,6594
43.0,142.0,13743
43.0,143.0,3379
43.0,144.0,1174
43.0,148.0,564
43.0,151.0,2863
43.0,152.0,205
43.0,158.0,1550
43.0,161.0,17807
43.0,162.0,7135
43.0,163.0,7363
43.0,164.0,5638
43.0,166.0,2116
43.0,170.0,4611
43.0,186.0,4209
43.0,209.0,166
43.0,211.0,1472
43.0,224.0,327
43.0,229.0,3324
43.0,230.0,8889
43.0,231.0,1846
43.0,232.0,316
43.0,233.0,2269
43.0,234.0,4507
43.0,236.0,12867
43.0,237.0,14476
43.0,238.0,7657
43.0,239.0,10082
43.0,243.0,224
43.0,244.0,492
43.0,246.0,2158
43.0,249.0,2434
43.0,261.0,617
43.0,262.0,3077
43.0,263.0,4161
45.0,4.0,495
45.0,12.0,46
45.0,13.0,580
45.0,24.0,27
45.0,41.0,58
45.0,42.0,41
45.0,43.0,148
45.0,45.0,1048
45.0,48.0,547
45.0,50.0,181
45.0,68.0,618
45.0,74.0,70
45.0,75.0,152
45.0,79.0,1483
45.0,87.0,1256
45.0,88.0,472
45.0,90.0,383
45.0,100.0,484
45.0,107.0,840
45.0,113.0,601
45.0,114.0,596
45.0,116.0,25
45.0,120.0,9
45.0,125.0,404
45.0,127.0,14
45.0,137.0,404
45.0,140.0,236
45.0,141.0,219
45.0,142.0,218
45.0,143.0,106
45.0,144.0,879
45.0,148.0,985
45.0,151.0,64
45.0,152.0,21
45.0,158.0,396
45.0,161.0,840
45.0,162.0,483
45.0,163.0,242
45.0,164.0,751
45.0,166.0,51
45.0,170.0,798
45.0,186.0,521
45.0,209.0,408
45.0,211.0,455
45.0,224.0,149
45.0,229.0,222
45.0,230.0,644
45.0,231.0,1697
45.0,232.0,900
45.0,233.0,461
45.0,234.0,723
45.0,236.0,195
45.0,237.0,229
45.0,238.0,111
45.0,239.0,151
45.0,243.0,23
45.0,244.0,37
45.0,246.0,386
45.0,249.0,702
45.0,261.0,748
45.0,262.0,175
45.0,263.0,126
48.0,4.0,1825
48.0,12.0,169
48.0,13.0,3726
48.0,24.0,1674
48.0,41.0,2832
48.0,42.0,2065
48.0,43.0,8704
48.0,45.0,701
48.0,48.0,34594
48.0,50.0,14155
48.0,68.0,27693
48.0,74.0,1922
48.0,75.0,3414
48.0,79.0,9386
48.0,87.0,2753
48.0,88.0,1138
48.0,90.0,11062
48.0,100.0,13764
48.0,107.0,9581
48.0,113.0,5660
48.0,114.0,4370
48.0,116.0,1773
48.0,120.0,137
48.0,125.0,2530
48.0,127.0,907
48.0,128.0,137
48.0,137.0,4991
48.0,140.0,4957
48.0,141.0,8306
48.0,142.0,22532
48.0,143.0,9234
48.0,144.0,3744
48.0,148.0,3109
48.0,151.0,4492
48.0,152.0,977
48.0,158.0,6454
48.0,161.0,34771
48.0,162.0,16059
48.0,163.0,16489
48.0,164.0,14368
48.0,166.0,3573
48.0,170.0,14692
48.0,186.0,12844
48.0,209.0,535
48.0,211.0,3542
48.0,224.0,1610
48.0,229.0,6768
48.0,230.0,20172
48.0,231.0,6870
48.0,232.0,1345
48.0,233.0,6881
48.0,234.0,14309
48.0,236.0,8343
48.0,237.0,11905
48.0,238.0,9712
48.0,239.0,14454
48.0,243.0,1788
48.0,244.0,2680
48.0,246.0,16785
48.0,249.0,11996
48.0,261.0,2176
48.0,262.0,3481
48.0,263.0,5478
50.0,4.0,501
50.0,12.0,70
50.0,13.0,1522
50.0,24.0,492
50.0,41.0,691
50.0,42.0,495
50.0,43.0,2140
50.0,45.0,257
50.0,48.0,11163
50.0,50.0,9081
50.0,68.0,8375
50.0,74.0,479
50.0,75.0,874
50.0,79.0,2755
50.0,87.0,1067
50.0,88.0,362
50.0,90.0,3158
50.0,100.0,5067
50.0,107.0,2515
50.0,113.0,1869
50.0,114.0,1394
50.0,116.0,402
50.0,120.0,26
50.0,125.0,906
50.0,127.0,197
50.0,128.0,31
50.0,137.0,974
50.0,140.0,1122
50.0,141.0,2172
50.0,142.0,7136
50.0,143.0,3283
50.0,144.0,1148
50.0,148.0,1049
50.0,151.0,1399
50.0,152.0,314
50.0,158.0,2692
50.0,161.0,8630
50.0,162.0,3785
50.0,163.0,5786
50.0,164.0,3859
50.0,166.0,1391
50.0,170.0,3169
50.0,186.0,3256
50.0,209.0,175
50.0,211.0,1540
50.0,224.0,447
50.0,229.0,1496
50.0,230.0,7766
50.0,231.0,2780
50.0,232.0,371
50.0,233.0,1299
50.0,234.0,4130
50.0,236.0,2387
50.0,237.0,3590
50.0,238.0,3199
50.0,239.0,4949
50.0,243.0,368
50.0,244.0,683
50.0,246.0,6127
50.0,249.0,3516
50.0,261.0,702
50.0,262.0,837
50.0,263.0,1321
68.0,4.0,1840
68.0,12.0,154
68.0,13.0,3909
68.0,24.0,621
68.0,41.0,1011
68.0,42.0,869
68.0,43.0,3323
68.0,45.0,655
68.0,48.0,21383
68.0,50.0,7972
68.0,68.0,23197
68.0,74.0,712
68.0,75.0,1584
68.0,79.0,9446
68.0,87.0,3027
68.0,88.0,982
68.0,90.0,9761
68.0,100.0,8590
68.0,107.0,9480
68.0,113.0,7225
68.0,114.0,5348
68.0,116.0,565
68.0,120.0,59
68.0,125.0,3631
68.0,127.0,307
68.0,128.0,48
68.0,137.0,4297
68.0,140.0,2335
68.0,141.0,3896
68.0,142.0,7299
68.0,143.0,3056
68.0,144.0,4429
68.0,148.0,3397
68.0,151.0,1534
68.0,152.0,356
68.0,158.0,7668
68.0,161.0,16696
68.0,162.0,6837
68.0,163.0,7081
68.0,164.0,10481
68.0,166.0,1462
68.0,170.0,11538
68.0,186.0,4897
68.0,209.0,477
68.0,211.0,4778
68.0,224.0,1471
68.0,229.0,3122
68.0,230.0,13549
68.0,231.0,7999
68.0,232.0,1263
68.0,233.0,3770
68.0,234.0,15691
68.0,236.0,3907
68.0,237.0,5544
68.0,238.0,3384
68.0,239.0,4669
68.0,243.0,566
68.0,244.0,896
68.0,246.0,15619
68.0,249.0,13608
68.0,261.0,2054
68.0,262.0,1742
68.0,263.0,2444
74.0,4.0,192
74.0,12.0,21
74.0,13.0,72
74.0,24.0,389
74.0,41.0,2781
74.0,42.0,1809
74.0,43.0,800
74.0,45.0,58
74.0,48.0,513
74.0,50.0,193
74.0,68.0,330
74.0,74.0,8432
74.0,75.0,6273
74.0,79.0,374
74.0,87.0,95
74.0,88.0,73
74.0,90.0,199
74.0,100.0,345
74.0,107.0,356
74.0,113.0,121
74.0,114.0,131
74.0,116.0,437
74.0,120.0,85
74.0,125.0,72
74.0,127.0,138
74.0,128.0,19
74.0,137.0,395
74.0,140.0,951
74.0,141.0,1491
74.0,142.0,731
74.0,143.0,219
74.0,144.0,92
74.0,148.0,165
74.0,151.0,829
74.0,152.0,524
74.0,158.0,85
74.0,161.0,678
74.0,162.0,596
74.0,163.0,385
74.0,164.0,310
74.0,166.0,1496
74.0,170.0,355
74.0,186.0,240
74.0,209.0,33
74.0,211.0,81
74.0,224.0,114
74.0,229.0,407
74.0,230.0,424
74.0,231.0,188
74.0,232.0,186
74.0,233.0,314
74.0,234.0,333
74.0,236.0,2483
74.0,237.0,959
74.0,238.0,1090
74.0,239.0,989
74.0,243.0,206
74.0,244.0,457
74.0,246.0,157
74.0,249.0,188
74.0,261.0,48
74.0,262.0,1174
74.0,263.0,2771
75.0,4.0,366
75.0,12.0,16
75.0,13.0,305
75.0,24.0,932
75.0,41.0,2645
75.0,42.0,1820
75.0,43.0,2822
75.0,45.0,133
75.0,48.0,1833
75.0,50.0,613
75.0,68.0,1159
75.0,74.0,8030
75.0,75.0,9736
75.0,79.0,995
75.0,87.0,319
75.0,88.0,299
75.0,90.0,553
75.0,100.0,1554
75.0,107.0,1214
75.0,113.0,560
75.0,114.0,380
75.0,116.0,528
75.0,120.0,66
75.0,125.0,223
75.0,127.0,234
75.0,128.0,32
75.0,137.0,1080
75.0,140.0,2921
75.0,141.0,4504
75.0,142.0,2804
75.0,143.0,887
75.0,144.0,271
75.0,148.0,524
75.0,151.0,3466
75.0,152.0,536
75.0,158.0,302
75.0,161.0,3639
75.0,162.0,2647
75.0,163.0,1575
75.0,164.0,1355
75.0,166.0,1994
75.0,170.0,1453
75.0,186.0,1474
75.0,209.0,136
75.0,211.0,247
75.0,224.0,283
75.0,229.0,1507
75.0,230.0,1541
75.0,231.0,572
75.0,232.0,352
75.0,233.0,1050
75.0,234.0,1214
75.0,236.0,10320
75.0,237.0,5750
75.0,238.0,5151
75.0,239.0,3279
75.0,243.0,351
75.0,244.0,687
75.0,246.0,625
75.0,249.0,572
75.0,261.0,124
75.0,262.0,3718
75.0,263.0,6927
79.0,4.0,9746
79.0,12.0,198
79.0,13.0,3185
79.0,24.0,655
79.0,41.0,1112
79.0,42.0,932
79.0,43.0,1757
79.0,45.0,2217
79.0,48.0,9603
79.0,50.0,3036
79.0,68.0,11175
79.0,74.0,1441
79.0,75.0,2447
79.0,79.0,28028
79.0,87.0,6673
79.0,88.0,1948
79.0,90.0,11640
79.0,100.0,6270
79.0,107.0,23133
79.0,113.0,14190
79.0,114.0,13050
79.0,116.0,685
79.0,120.0,58
79.0,125.0,4845
79.0,127.0,265
79.0,128.0,27
79.0,137.0,12626
79.0,140.0,4305
79.0,141.0,7336
79.0,142.0,4680
79.0,143.0,1633
79.0,144.0,11778
79.0,148.0,16391
79.0,151.0,1473
79.0,152.0,352
79.0,158.0,7587
79.0,161.0,10632
79.0,162.0,8341
79.0,163.0,4186
79.0,164.0,11730
79.0,166.0,1395
79.0,170.0,15939
79.0,186.0,10482
79.0,209.0,1857
79.0,211.0,8691
79.0,224.0,4624
79.0,229.0,7155
79.0,230.0,6381
79.0,231.0,11844
79.0,232.0,7079
79.0,233.0,8070
79.0,234.0,18660
79.0,236.0,4330
79.0,237.0,4877
79.0,238.0,2783
79.0,239.0,3798
79.0,243.0,535
79.0,244.0,770
79.0,246.0,5809
79.0,249.0,19429
79.0,261.0,2929
79.0,262.0,3739
79.0,263.0,4977
