pick_up_zone,drop_off_zone,weight
43.0,87.0,665
43.0,88.0,412
43.0,90.0,1743
43.0,100.0,4860
43.0,107.0,2321
43.0,113.0,2158
43.0,114.0,1466
43.0,116.0,232
43.0,120.0,17
43.0,125.0,592
43.0,127.0,66
43.0,128.0,20
43.0,137.0,1054
43.0,140.0,3559
43.0,141.0,6394
43.0,142.0,13806
43.0,143.0,3522
43.0,144.0,1195
43.0,148.0,631
43.0,151.0,2975
43.0,152.0,200
43.0,158.0,1573
43.0,161.0,17351
43.0,162.0,6662
43.0,163.0,6848
43.0,164.0,5681
43.0,166.0,1987
43.0,170.0,4392
43.0,186.0,3796
43.0,209.0,204
43.0,211.0,1395
43.0,224.0,335
43.0,229.0,3201
43.0,230.0,8379
43.0,231.0,2025
43.0,232.0,309
43.0,233.0,2147
43.0,234.0,4384
43.0,236.0,13015
43.0,237.0,14625
43.0,238.0,7754
43.0,239.0,10299
43.0,243.0,234
43.0,244.0,395
43.0,246.0,2526
43.0,249.0,2394
43.0,261.0,826
43.0,262.0,3239
43.0,263.0,3934
45.0,4.0,369
45.0,12.0,47
45.0,13.0,554
45.0,24.0,20
45.0,41.0,57
45.0,42.0,56
45.0,43.0,144
45.0,45.0,969
45.0,48.0,534
45.0,50.0,136
45.0,68.0,592
45.0,74.0,78
45.0,75.0,106
45.0,79.0,1407
45.0,87.0,1077
45.0,88.0,417
45.0,90.0,391
45.0,100.0,463
45.0,107.0,688
45.0,113.0,563
45.0,114.0,573
45.0,116.0,21
45.0,120.0,17
45.0,125.0,286
45.0,127.0,13
45.0,137.0,286
45.0,140.0,186
45.0,141.0,246
45.0,142.0,207
45.0,143.0,99
45.0,144.0,872
45.0,148.0,895
45.0,151.0,50
45.0,152.0,18
45.0,158.0,425
45.0,161.0,856
45.0,162.0,442
45.0,163.0,249
45.0,164.0,741
45.0,166.0,62
45.0,170.0,711
45.0,186.0,500
45.0,209.0,379
45.0,211.0,423
45.0,224.0,167
45.0,229.0,244
45.0,230.0,609
45.0,231.0,1373
45.0,232.0,677
45.0,233.0,376
45.0,234.0,701
45.0,236.0,196
45.0,237.0,221
45.0,238.0,102
45.0,239.0,137
45.0,243.0,12
45.0,244.0,32
45.0,246.0,387
45.0,249.0,677
45.0,261.0,730
45.0,262.0,139
45.0,263.0,115
48.0,4.0,1546
48.0,12.0,239
48.0,13.0,3725
48.0,24.0,1536
48.0,41.0,2712
48.0,42.0,1987
48.0,43.0,8695
48.0,45.0,678
48.0,48.0,29914
48.0,50.0,10815
48.0,68.0,26999
48.0,74.0,1833
48.0,75.0,3311
48.0,79.0,8755
48.0,87.0,2673
48.0,88.0,1221
48.0,90.0,9752
48.0,100.0,12170
48.0,107.0,8766
48.0,113.0,4810
48.0,114.0,4187
48.0,116.0,1747
48.0,120.0,129
48.0,125.0,2321
48.0,127.0,831
48.0,128.0,96
48.0,137.0,4432
48.0,140.0,4375
48.0,141.0,7585
48.0,142.0,21489
48.0,143.0,8457
48.0,144.0,3345
48.0,148.0,2689
48.0,151.0,4176
48.0,152.0,965
48.0,158.0,6261
48.0,161.0,30720
48.0,162.0,13502
48.0,163.0,15160
48.0,164.0,12966
48.0,166.0,3217
48.0,170.0,12964
48.0,186.0,10743
48.0,209.0,580
48.0,211.0,3384
48.0,224.0,1627
48.0,229.0,6053
48.0,230.0,17279
48.0,231.0,6975
48.0,232.0,1154
48.0,233.0,6112
48.0,234.0,12654
48.0,236.0,7919
48.0,237.0,10690
48.0,238.0,9072
48.0,239.0,13529
48.0,243.0,1632
48.0,244.0,2761
48.0,246.0,15320
48.0,249.0,11487
48.0,261.0,2675
48.0,262.0,3214
48.0,263.0,4744
50.0,4.0,341
50.0,12.0,98
50.0,13.0,1393
50.0,24.0,505
50.0,41.0,563
50.0,42.0,397
50.0,43.0,1754
50.0,45.0,184
50.0,48.0,9102
50.0,50.0,5086
50.0,68.0,6864
50.0,74.0,462
50.0,75.0,750
50.0,79.0,1956
50.0,87.0,793
50.0,88.0,384
50.0,90.0,2185
50.0,100.0,4155
50.0,107.0,1997
50.0,113.0,1219
50.0,114.0,1045
50.0,116.0,412
50.0,120.0,27
50.0,125.0,611
50.0,127.0,168
50.0,128.0,30
50.0,137.0,813
50.0,140.0,784
50.0,141.0,1524
50.0,142.0,6013
50.0,143.0,2843
50.0,144.0,767
50.0,148.0,731
50.0,151.0,1246
50.0,152.0,268
50.0,158.0,1868
50.0,161.0,6710
50.0,162.0,2830
50.0,163.0,4898
50.0,164.0,3004
50.0,166.0,1193
50.0,170.0,2586
50.0,186.0,2647
50.0,209.0,158
50.0,211.0,952
50.0,224.0,372
50.0,229.0,1160
50.0,230.0,6193
50.0,231.0,2209
50.0,232.0,264
50.0,233.0,1029
50.0,234.0,3141
50.0,236.0,1814
50.0,237.0,2256
50.0,238.0,2834
50.0,239.0,4286
50.0,243.0,324
50.0,244.0,665
50.0,246.0,4691
50.0,249.0,2656
50.0,261.0,669
50.0,262.0,644
50.0,263.0,1072
68.0,4.0,1744
68.0,12.0,170
68.0,13.0,4147
68.0,24.0,557
68.0,41.0,1122
68.0,42.0,885
68.0,43.0,3580
68.0,45.0,623
68.0,48.0,19830
68.0,50.0,6333
68.0,68.0,22477
68.0,74.0,772
68.0,75.0,1501
68.0,79.0,9820
68.0,87.0,3148
