pick_up_zone,drop_off_zone,weight
50.0,151.0,1159
50.0,152.0,275
50.0,158.0,2099
50.0,161.0,7738
50.0,162.0,3329
50.0,163.0,4902
50.0,164.0,3542
50.0,166.0,954
50.0,170.0,2901
50.0,186.0,2669
50.0,209.0,162
50.0,211.0,1046
50.0,224.0,325
50.0,229.0,1121
50.0,230.0,7083
50.0,231.0,2125
50.0,232.0,290
50.0,233.0,1168
50.0,234.0,3417
50.0,236.0,1679
50.0,237.0,2303
50.0,238.0,2512
50.0,239.0,4043
50.0,243.0,327
50.0,244.0,634
50.0,246.0,5511
50.0,249.0,2542
50.0,261.0,731
50.0,262.0,638
50.0,263.0,1098
68.0,4.0,1554
68.0,12.0,188
68.0,13.0,3885
68.0,24.0,541
68.0,41.0,993
68.0,42.0,801
68.0,43.0,3230
68.0,45.0,529
68.0,48.0,18703
68.0,50.0,6158
68.0,68.0,20397
68.0,74.0,711
68.0,75.0,1505
68.0,79.0,8836
68.0,87.0,3019
68.0,88.0,1042
68.0,90.0,8082
68.0,100.0,7440
68.0,107.0,8011
68.0,113.0,5943
68.0,114.0,4767
68.0,116.0,571
68.0,120.0,53
68.0,125.0,3215
68.0,127.0,251
68.0,128.0,51
68.0,137.0,3668
68.0,140.0,1992
68.0,141.0,3652
68.0,142.0,6198
68.0,143.0,2499
68.0,144.0,4058
68.0,148.0,3197
68.0,151.0,1406
68.0,152.0,340
68.0,158.0,6532
68.0,161.0,14214
68.0,162.0,5942
68.0,163.0,6262
68.0,164.0,9647
68.0,166.0,1088
68.0,170.0,10270
68.0,186.0,3869
68.0,209.0,463
68.0,211.0,4500
68.0,224.0,1456
68.0,229.0,2918
68.0,230.0,11720
68.0,231.0,7469
68.0,232.0,1044
68.0,233.0,3461
68.0,234.0,14125
68.0,236.0,3295
68.0,237.0,4352
68.0,238.0,2916
68.0,239.0,4153
68.0,243.0,533
68.0,244.0,810
68.0,246.0,13246
68.0,249.0,11329
68.0,261.0,2139
68.0,262.0,1651
68.0,263.0,2249
74.0,4.0,126
74.0,12.0,3
74.0,13.0,61
74.0,24.0,370
74.0,41.0,2087
74.0,42.0,1394
74.0,43.0,737
74.0,45.0,47
74.0,48.0,487
74.0,50.0,176
74.0,68.0,306
74.0,74.0,6563
74.0,75.0,4281
74.0,79.0,351
74.0,87.0,96
74.0,88.0,64
74.0,90.0,153
74.0,100.0,320
74.0,107.0,296
74.0,113.0,104
74.0,114.0,138
74.0,116.0,407
74.0,120.0,44
74.0,125.0,58
74.0,127.0,111
74.0,128.0,14
74.0,137.0,301
74.0,140.0,740
74.0,141.0,1142
74.0,142.0,610
74.0,143.0,161
74.0,144.0,89
74.0,148.0,120
74.0,151.0,715
74.0,152.0,306
74.0,158.0,88
74.0,161.0,632
74.0,162.0,543
74.0,163.0,318
74.0,164.0,301
74.0,166.0,1097
74.0,170.0,371
74.0,186.0,220
74.0,209.0,34
74.0,211.0,57
74.0,224.0,97
74.0,229.0,361
74.0,230.0,441
74.0,231.0,151
74.0,232.0,118
74.0,233.0,286
74.0,234.0,328
74.0,236.0,2012
74.0,237.0,828
74.0,238.0,897
74.0,239.0,725
74.0,243.0,152
74.0,244.0,356
74.0,246.0,178
74.0,249.0,185
74.0,261.0,34
74.0,262.0,959
74.0,263.0,2418
75.0,4.0,332
75.0,12.0,5
75.0,13.0,237
75.0,24.0,656
75.0,41.0,1946
75.0,42.0,1317
75.0,43.0,2227
75.0,45.0,85
75.0,48.0,1732
75.0,50.0,572
75.0,68.0,1203
75.0,74.0,6335
75.0,75.0,8108
75.0,79.0,865
75.0,87.0,303
75.0,88.0,308
75.0,90.0,445
75.0,100.0,1363
75.0,107.0,969
75.0,113.0,398
75.0,114.0,359
75.0,116.0,333
75.0,120.0,42
75.0,125.0,231
75.0,127.0,168
75.0,128.0,29
75.0,137.0,909
75.0,140.0,1946
75.0,141.0,3489
75.0,142.0,2190
75.0,143.0,722
75.0,144.0,287
75.0,148.0,408
75.0,151.0,2387
75.0,152.0,416
75.0,158.0,271
75.0,161.0,3269
75.0,162.0,2540
75.0,163.0,1336
75.0,164.0,1179
75.0,166.0,1494
75.0,170.0,1332
75.0,186.0,1255
75.0,209.0,134
75.0,211.0,215
75.0,224.0,266
75.0,229.0,1135
75.0,230.0,1366
75.0,231.0,451
75.0,232.0,312
75.0,233.0,967
75.0,234.0,1036
75.0,236.0,7252
75.0,237.0,4142
75.0,238.0,3613
75.0,239.0,2476
75.0,243.0,271
75.0,244.0,512
75.0,246.0,611
75.0,249.0,503
75.0,261.0,94
75.0,262.0,2710
75.0,263.0,5158
79.0,4.0,6254
79.0,12.0,226
79.0,13.0,2900
79.0,24.0,550
79.0,41.0,982
79.0,42.0,864
79.0,43.0,1806
79.0,45.0,1704
79.0,48.0,8320
79.0,50.0,2330
79.0,68.0,9880
79.0,74.0,1165
79.0,75.0,2206
79.0,79.0,21340
79.0,87.0,5628
79.0,88.0,2097
79.0,90.0,9013
79.0,100.0,5982
79.0,107.0,17871
79.0,113.0,9898
79.0,114.0,9706
79.0,116.0,535
